id;isbn;title;subject;target;language;number_of_pages;image_url;modified_date
1;Table Fish;Dynamic programming;forecast;Agent;compress state mobile;14112;Center;2021-07-18
2;generate;Syria Mall toolset;Texas Industrial;redefine;parsing;26287;driver Soft Books;2021-07-18
3;FTP payment;Generic override;programming cross-platform Consultant;blockchains orchestrate;Port payment Shoes;83632;Club architectures;2021-07-18
4;backing deposit;CSS navigate;indigo Account drive;Personal;Web Books transmitter;23182;compressing Table;2021-07-19
5;Sharable input;payment salmon;interface;functionalities Supervisor alarm;Toys;59489;Health Paradigm;2021-07-18
6;Pakistan up;USB Health;Accountability JBOD;EXE New Branding;optical channels Intelligent;67579;e-markets HDD wireless;2021-07-18
7;navigating neural-net;methodical multi-tasking Marketing;Franc input migration;Quality-focused Synergized;Yemen parsing New;41623;channels composite;2021-07-18
8;Avon azure;calculating;Concrete Home Way;Liaison;SQL;25124;Sausages invoice;2021-07-18
9;Mountain salmon;alliance;Bedfordshire Licensed;Berkshire quantify olive;distributed mint reboot;43518;Shoes Marketing Bhutanese;2021-07-18
10;Wooden markets;strategize optimal Baby;state frictionless navigate;Tanzania Cotton;solution-oriented system Chips;43322;even-keeled interface;2021-07-19
